location_name,Pop,Cum.Coverage.Percent,Date,Coverage_level,location
Wisconsin,5798093.0,20.59539214013987,2024-12-29,medium,55
West Virginia,1775094.0,13.693796553872641,2024-12-29,low,54
Missouri,6096810.0,17.199867766914174,2024-12-29,medium,29
Virginia,8426441.0,20.728516760516094,2024-12-29,high,51
Maryland,5985455.0,26.00631698007921,2024-12-29,high,24
Maine,1342637.0,27.093348015882178,2024-12-29,high,23
Louisiana,4600825.0,8.028274798541565,2024-12-29,low,22
Kentucky,4433971.0,15.36646583840986,2024-12-29,low,21
Kansas,2873429.0,16.900842512552078,2024-12-29,medium,20
Iowa,3143272.0,21.777198028042115,2024-12-29,high,19
Indiana,6711888.0,15.332575752157961,2024-12-29,low,18
Illinois,12490005.0,20.998225092784192,2024-12-29,high,17
Idaho,1812602.0,14.088838586738843,2024-12-29,low,16
Hawaii,1353601.0,23.165523592255024,2024-12-29,high,15
Georgia,10584665.0,12.713447870102646,2024-12-29,low,13
Florida,21556609.0,12.65884254337034,2024-12-29,low,12
District of Columbia,704499.0,35.55251803054369,2024-12-29,high,11
Delaware,978141.0,21.97708520550718,2024-12-29,high,10
Connecticut,3532980.0,20.71625098358892,2024-12-29,medium,09
Colorado,5740248.0,24.26157970875126,2024-12-29,high,08
California,38988577.0,21.594317933173095,2024-12-29,high,06
Arkansas,3007246.0,12.503611011536803,2024-12-29,low,05
Arizona,7361069.0,15.654626101181771,2024-12-29,low,04
Alaska,706871.0,16.198270547242707,2024-12-29,low,02
Alabama,4879316.0,10.32219899264569,2024-12-29,low,01
Massachusetts,6854229.0,30.42062369086297,2024-12-29,high,25
Washington,7598202.0,24.676127444361178,2024-12-29,high,53
Michigan,9908921.0,19.155684276824893,2024-12-29,medium,26
Mississippi,2934371.0,10.641142548096337,2024-12-29,low,28
Vermont,620110.0,36.67186079889051,2024-12-29,high,50
Utah,3221327.0,17.533297302633358,2024-12-29,medium,49
Texas,29057914.0,12.302872322493625,2024-12-29,low,48
Tennessee,6826537.0,12.715417040880316,2024-12-29,low,47
South Dakota,883350.0,16.338169694911418,2024-12-29,medium,46
South Carolina,5148129.0,13.429737502692724,2024-12-29,low,45
Rhode Island,1047493.0,25.099323432232953,2024-12-29,high,44
Pennsylvania,12710349.0,19.499752548100766,2024-12-29,medium,42
Oregon,4217919.0,25.973340550162295,2024-12-29,high,41
Oklahoma,3936703.0,11.318540514740382,2024-12-29,low,40
Ohio,11618299.0,16.925767618822686,2024-12-29,medium,39
North Dakota,752902.0,17.17469152691851,2024-12-29,medium,38
North Carolina,10444183.0,17.15852866614842,2024-12-29,medium,37
New York,19201350.0,18.56265650592276,2024-12-29,medium,36
New Mexico,2083378.0,19.801352754996934,2024-12-29,medium,35
New Jersey,8823294.0,17.392636990221565,2024-12-29,medium,34
New Hampshire,1358938.0,26.410807630664536,2024-12-29,high,33
Nevada,3109579.0,14.58877661574123,2024-12-29,low,32
Nebraska,1918465.0,18.518469609818265,2024-12-29,medium,31
National,326429697.0,17.749127807449455,2024-12-29,medium,
Montana,1071332.0,17.77596748720285,2024-12-29,medium,30
Minnesota,5622011.0,28.929212945332196,2024-12-29,high,27
Wyoming,576068.0,13.5905597950242,2024-12-29,low,56
